,Jtheta,loss_D
0,27.852699279785156,-499.31683349609375
1,28.682498931884766,-41.00811767578125
2,26.382732391357422,-20.7534236907959
3,16.619670867919922,-33.04524612426758
4,9.927931785583496,-31.828125
5,8.725003242492676,-23.43206214904785
6,5.47838020324707,-13.368070602416992
7,7.20983362197876,-11.167349815368652
8,4.499058723449707,-10.019636154174805
9,5.042741775512695,-9.210123062133789
10,5.748073577880859,-7.135375022888184
11,3.7784390449523926,-10.199731826782227
12,2.874537467956543,-7.299482822418213
13,3.00357723236084,-3.2404332160949707
14,3.2880163192749023,-3.1535391807556152
15,6.3121018409729,-5.774087905883789
16,4.7934465408325195,-8.794258117675781
17,5.781630516052246,-9.033807754516602
18,5.151954650878906,-8.004667282104492
19,4.017110347747803,-7.699378967285156
20,3.169374942779541,-6.536577224731445
21,4.169322967529297,-7.0032196044921875
22,6.946994781494141,-8.458938598632812
23,4.900084495544434,-13.095382690429688
24,7.199995040893555,-14.259671211242676
25,6.152774810791016,-13.303203582763672
26,4.883306980133057,-14.61312484741211
27,5.4297099113464355,-14.831558227539062
28,4.21845006942749,-12.90839672088623
29,2.342477560043335,-6.863274574279785
30,1.5897951126098633,-1.6992888450622559
31,1.933666706085205,-0.5259972810745239
32,2.1667253971099854,-0.7601597309112549
33,1.5914279222488403,-1.6575982570648193
34,2.384799003601074,-1.739884376525879
35,2.292510986328125,-1.9836084842681885
36,1.783708095550537,-1.4071917533874512
37,2.273930311203003,-0.7537550926208496
38,2.2594528198242188,-1.6572345495224
39,2.612643241882324,-2.8180243968963623
40,3.2260255813598633,-2.5418081283569336
41,3.008584499359131,-3.8467559814453125
42,3.644425392150879,-5.053192138671875
43,3.434922218322754,-6.678886413574219
44,4.470179557800293,-7.31852912902832
45,4.935564994812012,-9.0562162399292
46,2.6580677032470703,-8.912271499633789
47,3.1977219581604004,-6.1341471672058105
48,3.5520095825195312,-5.487792491912842
49,6.371508598327637,-8.922426223754883
50,6.578055381774902,-13.002399444580078
51,4.977463722229004,-11.762718200683594
52,3.84639573097229,-9.477407455444336
53,3.4303388595581055,-8.008045196533203
54,6.257083892822266,-7.5652689933776855
55,5.569469451904297,-11.02074146270752
56,6.355801582336426,-13.603225708007812
57,6.181096076965332,-12.238959312438965
58,5.942394256591797,-13.698890686035156
59,6.37160587310791,-12.632118225097656
60,4.926183700561523,-10.99411678314209
61,4.999522686004639,-9.788808822631836
62,5.7999725341796875,-9.23488712310791
